,scenario_id,scenario_name,timespan,ego_v_init,ego_v_mid,ego_v_end,ego_acc_init,ego_acc_mid,ego_acc_min,ego_breaktime_max,ego_breaktime_until_mid,l_rel_pos_init,p_rel_pos_init,ll_rel_pos_init,pl_rel_pos_init,lr_rel_pos_init,pr_rel_pos_init,l_rel_pos_mid,p_rel_pos_mid,ll_rel_pos_mid,pl_rel_pos_mid,lr_rel_pos_mid,pr_rel_pos_mid,l_rel_pos_end,p_rel_pos_end,ll_rel_pos_end,pl_rel_pos_end,lr_rel_pos_end,pr_rel_pos_end,surr_veh_count_init,surr_veh_count_mid,surr_veh_count_end
0,0,MPP_DEU_LocationA-11_T1022F8576_T-1,3.2,26.6379,26.2369,25.6545,-0.25,-0.25,-0.5075,2.52,0.92,-1.0,38.4229,28.7575,33.6999,-1.0,-1.0,26.7706,34.3965,23.5091,68.4877,-1.0,34.3006,26.0914,34.1111,22.6563,70.30199999999999,-1.0,30.7669,3,3,3
1,1,MPP_DEU_LocationA-11_T1042F8919_T-1,3.2,26.3068,26.6755,27.0131,0.25,0.25,-0.005,0.04,0.0,-1.0,49.5079,74.8923,49.6084,-1.0,-1.0,-1.0,44.4593,17.38,-1.0,-1.0,49.6701,-1.0,39.325,18.1184,-1.0,-1.0,-1.0,3,3,3
2,2,MPP_DEU_LocationA-11_T1050F8895_T-1,3.2,33.3161,33.564,33.8242,0.005,0.25,-0.0125,0.04,0.0,51.1096,34.3934,-1.0,-1.0,34.6732,69.5554,35.1351,68.9083,50.2582,33.6161,73.8584,-1.0,35.6859,68.6523,48.9888,32.1334,-1.0,-1.0,4,4,4
3,3,MPP_DEU_LocationA-11_T1059F9029_T-1,3.2,28.9447,29.7868,29.6253,1.0025,0.0,-0.2625,1.28,0.0,-1.0,50.6791,29.1241,19.3836,-1.0,12.7007,29.4962,19.6835,-1.0,-1.0,-1.0,41.7912,30.5025,20.5004,-1.0,-1.0,-1.0,32.8324,4,4,4
4,4,MPP_DEU_LocationA-11_T1074F9032_T-1,3.2,21.9964,22.4597,22.9535,0.26,0.4925,0.24,0.0,0.0,-1.0,27.0213,29.333000000000002,-1.0,-1.0,-1.0,35.4917,-1.0,12.2353,57.9711,-1.0,25.6106,40.8863,-1.0,20.5112,51.6555,-1.0,23.6727,2,2,2
5,5,MPP_DEU_LocationA-11_T107F737_T-1,3.2,33.7143,33.7855,33.3602,0.25,-0.0075,-0.5025,2.32,0.72,-1.0,13.4199,-1.0,-1.0,41.9525,27.5433,38.7345,42.5324,-1.0,10.445,91.6186,20.9143,35.8504,57.15,-1.0,5.7477,74.3003,37.7349,3,3,3
6,6,MPP_DEU_LocationA-11_T1112F9281_T-1,3.2,32.6007,32.8743,33.0258,0.25,0.0025,-0.005,0.04,0.0,50.2624,-1.0,48.6967,-1.0,36.8344,-1.0,44.0453,63.8404,51.443000000000005,-1.0,20.7805,-1.0,54.8695,93.8492,-1.0,-1.0,37.4758,64.2466,3,3,3
7,7,MPP_DEU_LocationA-11_T1132F9799_T-1,3.2,21.5783,22.0242,22.5043,0.2575,0.25,0.235,0.0,0.0,-1.0,-1.0,8.4688,42.1951,-1.0,-1.0,-1.0,-1.0,12.5278,36.7129,-1.0,-1.0,15.5042,32.235,-1.0,35.6513,-1.0,-1.0,2,2,2
8,8,MPP_DEU_LocationA-11_T1144F9863_T-1,3.2,25.8924,25.7318,25.5201,0.2575,-0.2575,-0.265,2.08,0.52,-1.0,14.1136,11.1616,14.6018,-1.0,-1.0,10.1599,12.5305,-1.0,-1.0,-1.0,12.81,10.2553,12.0635,-1.0,-1.0,-1.0,11.6647,3,3,3
9,9,MPP_DEU_LocationA-11_T1154F9707_T-1,3.2,32.7504,33.8785,35.0164,0.505,0.75,0.495,0.0,0.0,28.2217,-1.0,47.4883,-1.0,-1.0,-1.0,24.2233,-1.0,49.3114,70.4337,-1.0,68.5567,49.2551,69.4413,-1.0,-1.0,18.4979,-1.0,2,2,2
10,10,MPP_DEU_LocationA-11_T1164F9870_T-1,3.2,27.1185,27.6443,27.4375,0.7625,0.0,-0.27,1.36,0.04,-1.0,24.3781,11.5191,43.5806,-1.0,15.47,14.4927,40.3325,-1.0,-1.0,-1.0,20.7511,54.0,17.5104,-1.0,-1.0,-1.0,17.0145,4,4,4
11,11,MPP_DEU_LocationA-11_T1167F9932_T-1,3.2,32.9546,32.6946,32.5817,-0.25,0.0,-0.255,0.28,0.16,-1.0,32.9869,-1.0,-1.0,-1.0,27.2856,-1.0,30.5286,-1.0,30.021,6.4508,30.9571,-1.0,33.3854,-1.0,25.7248,-1.0,11.8246,2,2,2
