	scenario_id	timespan	ego_v_init	ego_acc_init	l_rel_pos_init	p_rel_pos_init	ll_rel_pos_init	pl_rel_pos_init	lr_rel_pos_init	pr_rel_pos_init	surr_veh_count_init	ego_acc_min	ego_breaktime_max	ego_v_end	l_rel_pos_end	p_rel_pos_end	ll_rel_pos_end	pl_rel_pos_end	lr_rel_pos_end	pr_rel_pos_end	surr_veh_count_end	ego_lane_change_ts	ego_lane_change	cut_in_ts	cut_in_dir	cut_in_dist_reduced	min_dhw	ego_v_min_dhw	ego_acc_min_dhw	l_rel_pos_min_dhw	p_rel_pos_min_dhw	ll_rel_pos_min_dhw	pl_rel_pos_min_dhw	lr_rel_pos_min_dhw	pr_rel_pos_min_dhw	surr_veh_count_min_dhw	ego_breaktime_until_min_dhw	min_thw	ego_v_min_thw	ego_acc_min_thw	l_rel_pos_min_thw	p_rel_pos_min_thw	ll_rel_pos_min_thw	pl_rel_pos_min_thw	lr_rel_pos_min_thw	pr_rel_pos_min_thw	surr_veh_count_min_thw	ego_breaktime_until_min_thw	min_ttc	ego_v_min_ttc	ego_acc_min_ttc	l_rel_pos_min_ttc	p_rel_pos_min_ttc	ll_rel_pos_min_ttc	pl_rel_pos_min_ttc	lr_rel_pos_min_ttc	pr_rel_pos_min_ttc	surr_veh_count_min_ttc	ego_breaktime_until_min_ttc
0	MPP_DEU_LocationA-11_T1022F8609_T-1	3.2	26.3273	-0.25	27.0875	34.295	23.9966	68.2128	-1.0	35.0803	5	-0.5075	2.2	25.5125	-1.0	26.5916	23.8531	71.9352	-1.0	28.2901	4	-1.0	0	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
1	MPP_DEU_LocationA-11_T1033F8763_T-1	3.2	24.7468	0.005	-1.0	23.9407	-1.0	-1.0	24.692	43.1605	3	-0.26	0.24	24.3245	25.8656	40.5979	-1.0	21.5467	52.8206	21.8239	5	1.84	1	-1.0	0	-1.0	25.3518	24.5069	0.0	25.1018	41.9092	-1.0	23.8472	51.2579	27.8956	5	0.04	1.0345	24.5069	0.0	25.1018	41.9092	-1.0	23.8472	51.2579	27.8956	5	0.04	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
2	MPP_DEU_LocationA-11_T1050F8896_T-1	3.2	33.3163	0.255	51.09	34.374	-1.0	-1.0	34.6914	69.5255	4	-0.0125	0.04	33.834	35.7057	68.6521	48.9504	32.0959	-1.0	-1.0	4	1.48	1	-1.0	0	-1.0	34.4438	33.554	0.25	35.0988	68.9397	50.2951	33.6706	74.1832	-1.0	5	0.0	1.0265	33.554	0.25	35.0988	68.9397	50.2951	33.6706	74.1832	-1.0	5	0.0	67.3641	33.554	0.0	50.3034	33.698	-1.0	-1.0	35.0804	68.9505	4	0.0
3	MPP_DEU_LocationA-11_T1056F8832_T-1	3.2	34.5031	-0.2375	36.8423	47.6685	-1.0	-1.0	-1.0	17.4442	3	-0.265	3.08	33.8333	-1.0	31.4718	35.2681	48.7439	-1.0	23.9018	4	1.4000000000000001	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
4	MPP_DEU_LocationA-11_T1059F9030_T-1	3.2	28.9848	1.01	-1.0	50.4793	29.1507	19.3592	-1.0	12.4565	4	-0.2625	1.32	29.6251	30.5322	20.5302	-1.0	-1.0	-1.0	32.6061	3	1.4000000000000001	-1	-1.0	0	-1.0	29.2774	29.7765	0.2575	29.4274	19.6182	-1.0	-1.0	-1.0	42.7017	3	0.0	0.9831	29.7868	0.0	29.4347	19.6437	-1.0	-1.0	-1.0	42.4739	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
5	MPP_DEU_LocationA-11_T1074F9032_T-1	3.2	21.9964	0.26	-1.0	27.0213	29.333	-1.0	-1.0	-1.0	2	0.24	0.0	22.9535	40.8863	-1.0	20.5112	51.6555	-1.0	23.6727	4	1.28	-1	-1.0	0	-1.0	34.4521	22.3622	0.2425	34.3521	-1.0	10.7778	59.2462	-1.0	25.8962	4	0.0	1.5406	22.3622	0.2425	34.3521	-1.0	10.7778	59.2462	-1.0	25.8962	4	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
6	MPP_DEU_LocationA-11_T1112F9281_T-1	3.2	32.6007	0.25	50.2624	-1.0	48.6967	-1.0	36.8344	-1.0	3	-0.005	0.04	33.0258	54.8695	93.8492	-1.0	-1.0	37.4758	64.2466	4	2.12	-1	-1.0	0	-1.0	42.0346	32.9355	0.25	42.0846	63.9541	52.4277	-1.0	16.0919	79.6592	5	0.0	1.2763	32.9355	0.25	42.0846	63.9541	52.4277	-1.0	16.0919	79.6592	5	0.0	9.0816	32.9355	0.25	42.0846	63.9541	52.4277	-1.0	16.0919	79.6592	5	0.0
7	MPP_DEU_LocationA-11_T1132F9820_T-1	3.2	21.7936	0.26	-1.0	97.3747	10.6632	39.2573	-1.0	-1.0	3	0.235	0.0	22.7408	16.5496	30.2122	-1.0	33.2145	-1.0	-1.0	3	1.24	-1	-1.0	0	-1.0	13.5777	22.1724	0.24	13.5777	35.2862	51.4861	39.2574	-1.0	-1.0	4	0.0	0.6124	22.1724	0.24	13.5777	35.2862	51.4861	39.2574	-1.0	-1.0	4	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
8	MPP_DEU_LocationA-11_T1144F9879_T-1	3.2	25.9253	-0.25	-1.0	13.4729	10.6789	13.6259	-1.0	91.0754	4	-0.265	2.08	25.4811	-1.0	12.2847	-1.0	-1.0	-1.0	35.2448	2	0.64	-1	-1.0	0	-1.0	10.2781	25.6053	-0.26	10.0781	12.0872	-1.0	-1.0	-1.0	12.3361	3	1.2	0.4014	25.6053	-0.26	10.0781	12.0872	-1.0	-1.0	-1.0	12.3361	3	1.2	18.5302	25.804	-0.25	10.2942	12.8093	-1.0	-1.0	-1.0	13.0229	3	0.2
9	MPP_DEU_LocationA-11_T1154F9707_T-1	3.2	32.7504	0.505	28.2217	-1.0	47.4883	-1.0	-1.0	-1.0	2	0.495	0.0	35.0164	49.2551	69.4413	-1.0	-1.0	18.4979	-1.0	3	2.0	-1	-1.0	0	-1.0	22.8846	34.1591	0.75	23.1846	-1.0	49.4681	70.0642	-1.0	72.5902	4	0.0	0.6699	34.1591	0.75	23.1846	-1.0	49.4681	70.0642	-1.0	72.5902	4	0.0	5.6013	34.1591	0.75	23.1846	-1.0	49.4681	70.0642	-1.0	72.5902	4	0.0
