	scenario_id	timespan	ego_v_init	ego_acc_init	l_rel_pos_init	p_rel_pos_init	ll_rel_pos_init	pl_rel_pos_init	lr_rel_pos_init	pr_rel_pos_init	surr_veh_count_init	ego_acc_min	ego_breaktime_max	ego_v_end	l_rel_pos_end	p_rel_pos_end	ll_rel_pos_end	pl_rel_pos_end	lr_rel_pos_end	pr_rel_pos_end	surr_veh_count_end	ego_lane_change_ts	ego_lane_change	cut_in_ts	cut_in_dir	cut_in_dist_reduced	min_dhw	ego_v_min_dhw	ego_acc_min_dhw	l_rel_pos_min_dhw	p_rel_pos_min_dhw	ll_rel_pos_min_dhw	pl_rel_pos_min_dhw	lr_rel_pos_min_dhw	pr_rel_pos_min_dhw	surr_veh_count_min_dhw	ego_breaktime_until_min_dhw	min_thw	ego_v_min_thw	ego_acc_min_thw	l_rel_pos_min_thw	p_rel_pos_min_thw	ll_rel_pos_min_thw	pl_rel_pos_min_thw	lr_rel_pos_min_thw	pr_rel_pos_min_thw	surr_veh_count_min_thw	ego_breaktime_until_min_thw	min_ttc	ego_v_min_ttc	ego_acc_min_ttc	l_rel_pos_min_ttc	p_rel_pos_min_ttc	ll_rel_pos_min_ttc	pl_rel_pos_min_ttc	lr_rel_pos_min_ttc	pr_rel_pos_min_ttc	surr_veh_count_min_ttc	ego_breaktime_until_min_ttc
0	MPP_DEU_LocationA-11_T1022F8576_T-1	3.2	26.6379	-0.25	-1.0	38.4229	28.7575	33.6999	-1.0	-1.0	3	-0.5075	2.52	25.6545	26.0914	34.1111	22.6563	70.302	-1.0	30.7669	5	1.28	-1	-1.0	0	-1.0	27.2232	25.7349	-0.25	26.0632	34.253	22.5782	69.9528	-1.0	31.3468	5	2.24	1.0538	25.8954	-0.5	26.1276	34.408	22.6315	69.4317	-1.0	32.27	5	1.8	20.5617	26.3375	-0.255	27.1483	34.266	24.0888	68.1646	-1.0	35.1888	5	0.6
1	MPP_DEU_LocationA-11_T1042F8919_T-1	3.2	26.3068	0.25	-1.0	49.5079	74.8923	49.6084	-1.0	-1.0	3	-0.005	0.04	27.0131	-1.0	39.325	18.1184	83.4386	-1.0	-1.0	3	1.2	-1	-1.0	0	-1.0	73.3091	26.5761	0.25	73.3341	45.7353	17.3307	91.1965	-1.0	49.6707	5	0.0	2.7585	26.5761	0.25	73.3341	45.7353	17.3307	91.1965	-1.0	49.6707	5	0.0	52.1306	26.5761	0.25	73.3341	45.7353	17.3307	91.1965	-1.0	49.6707	5	0.0
2	MPP_DEU_LocationA-11_T1050F8895_T-1	3.2	33.3161	0.005	51.1096	34.3934	-1.0	-1.0	34.6732	69.5554	4	-0.0125	0.04	33.8242	35.6859	68.6523	48.9888	32.1334	-1.0	-1.0	4	1.52	1	-1.0	0	-1.0	34.4438	33.554	0.25	35.0988	68.9397	50.2951	33.6706	74.1832	-1.0	5	0.0	1.0265	33.554	0.25	35.0988	68.9397	50.2951	33.6706	74.1832	-1.0	5	0.0	67.3641	33.554	0.0	50.3034	33.698	-1.0	-1.0	35.0804	68.9505	4	0.0
3	MPP_DEU_LocationA-11_T1059F9029_T-1	3.2	28.9447	1.0025	-1.0	50.6791	29.1241	19.3836	-1.0	12.7007	4	-0.2625	1.28	29.6253	30.5025	20.5004	-1.0	-1.0	-1.0	32.8324	3	1.44	-1	-1.0	0	-1.0	29.2774	29.7765	0.2575	29.4274	19.6182	-1.0	-1.0	-1.0	42.7017	3	0.0	0.9831	29.7868	0.0	29.4347	19.6437	-1.0	-1.0	-1.0	42.4739	3	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
4	MPP_DEU_LocationA-11_T1074F9032_T-1	3.2	21.9964	0.26	-1.0	27.0213	29.333	-1.0	-1.0	-1.0	2	0.24	0.0	22.9535	40.8863	-1.0	20.5112	51.6555	-1.0	23.6727	4	1.28	-1	-1.0	0	-1.0	34.4521	22.3622	0.2425	34.3521	-1.0	10.7778	59.2462	-1.0	25.8962	4	0.0	1.5406	22.3622	0.2425	34.3521	-1.0	10.7778	59.2462	-1.0	25.8962	4	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
5	MPP_DEU_LocationA-11_T107F737_T-1	3.2	33.7143	0.25	-1.0	13.4199	-1.0	-1.0	41.9525	27.5433	3	-0.5025	2.32	33.3602	35.8504	57.15	-1.0	5.7477	74.3003	37.7349	5	0.36	1	-1.0	0	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
6	MPP_DEU_LocationA-11_T1112F9281_T-1	3.2	32.6007	0.25	50.2624	-1.0	48.6967	-1.0	36.8344	-1.0	3	-0.005	0.04	33.0258	54.8695	93.8492	-1.0	-1.0	37.4758	64.2466	4	2.12	-1	-1.0	0	-1.0	42.0346	32.9355	0.25	42.0846	63.9541	52.4277	-1.0	16.0919	79.6592	5	0.0	1.2763	32.9355	0.25	42.0846	63.9541	52.4277	-1.0	16.0919	79.6592	5	0.0	9.0816	32.9355	0.25	42.0846	63.9541	52.4277	-1.0	16.0919	79.6592	5	0.0
7	MPP_DEU_LocationA-11_T1132F9799_T-1	3.2	21.5783	0.2575	-1.0	98.7357	8.4688	42.1951	-1.0	-1.0	3	0.235	0.0	22.5043	15.5042	32.235	-1.0	35.6513	-1.0	-1.0	3	2.08	-1	-1.0	0	-1.0	13.5777	22.1724	0.24	13.5777	35.2862	51.4861	39.2574	-1.0	-1.0	4	0.0	0.6124	22.1724	0.24	13.5777	35.2862	51.4861	39.2574	-1.0	-1.0	4	0.0	-1.0	-1.0	0.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1	-1.0
8	MPP_DEU_LocationA-11_T1144F9863_T-1	3.2	25.8924	0.2575	-1.0	14.1136	11.1616	14.6018	-1.0	87.0219	4	-0.265	2.08	25.5201	10.2553	12.0635	-1.0	-1.0	-1.0	11.6647	3	1.28	-1	-1.0	0	-1.0	10.2781	25.6053	-0.26	10.0781	12.0872	-1.0	-1.0	-1.0	12.3361	3	1.2	0.4014	25.6053	-0.26	10.0781	12.0872	-1.0	-1.0	-1.0	12.3361	3	1.2	18.5302	25.804	-0.25	10.2942	12.8093	-1.0	-1.0	-1.0	13.0229	3	0.2
9	MPP_DEU_LocationA-11_T1154F9707_T-1	3.2	32.7504	0.505	28.2217	-1.0	47.4883	-1.0	-1.0	-1.0	2	0.495	0.0	35.0164	49.2551	69.4413	-1.0	-1.0	18.4979	-1.0	3	2.0	-1	-1.0	0	-1.0	22.8846	34.1591	0.75	23.1846	-1.0	49.4681	70.0642	-1.0	72.5902	4	0.0	0.6699	34.1591	0.75	23.1846	-1.0	49.4681	70.0642	-1.0	72.5902	4	0.0	5.6013	34.1591	0.75	23.1846	-1.0	49.4681	70.0642	-1.0	72.5902	4	0.0
